"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year","duration","used_link_newname","locallink"
"Andrey Chmut","Smoothability","sing1","jazz","jazz","немає","Київ","чоловіча","київ","Moving Forward","Andrey_Chmut_ Moving Forward.m4a","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg","https://www.facebook.com/andrey.chmut.3","https://itunes.apple.com/ru/album/smoothability/1388690133","yes","short list","2018","","img/covers18/T8v5j4c8Sk.JPEG","yes"
"Atomic Simao","Levitation Loom Four","sing2","psychedelic jazz, instrumental","jazz","англійська","Київ","чоловіча","київ","Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg","https://www.facebook.com/AtomicSimao/?eid=ARDDG--hd76BelOceMI0olGWfYMkPSOy30X5i93LC9-2dOezOU2__IvPG7FiNBGjrqNypHfQLO8EyJLS","https://atomicsimao.bandcamp.com/album/levitation-loom-four","yes","short list","2018","","img/covers18/hqYZFRXpKo.JPEG","yes"
"Freel","Спалах","sing3","rap","hip hop & rap","українська","Київ","чоловіча","київ","Хочеш приїду","Freel_Хочеш_приїду.mp3","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg","https://www.facebook.com/me.freel/","https://soundcloud.com/me-freel/sets/freel-spalah","yes","short list","2018","","",""
"Jamala","Крила","sing4","pop","pop","мікс","Київ","жіноча","київ","Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no","https://www.facebook.com/jamalaofficial/","https://itunes.apple.com/ua/album/%D0%BA%D1%80%D0%B8%D0%BB%D0%B0/1437159875?l=ru","yes","short list","2018","","img/covers18/PVr5XB1e7y.JPEG","yes"
"KRUTЬ","Live Concert With Chamber Orchestra","sing5","","indie","мікс","Київ","жіноча","київ","Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg","https://www.facebook.com/bandurakrut/","https://play.google.com/store/music/album/KRUT%D0%AC_Live_Concert_With_Chamber_Orchestra?id=Bct5uphaqmky44no3ba7z2j7j74","yes","short list","2018","","img/covers18/5JvJlgdKak.JPEG","yes"
"LATEXFAUNA","Ajahuaska","sing6","indie pop","indie","українська","Київ","чоловіча","київ","Australia","Latexfauna_Australia.mp3","https://images.genius.com/18bec85e198cec2eea3869cfaea3ce85.600x600x1.jpg","https://www.facebook.com/latexfauna/","https://www.deezer.com/en/album/62151552","yes","short list","2018","","","no link"
"LAUD","Музика","sing7","","pop","українська","Київ","чоловіча","київ","Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg","https://www.facebook.com/laudenjoy/?ref=br_rs","https://soundcloud.com/enjoylaud/sets/music","yes","short list","2018","","img/covers18/cpu1dlYRqa.JPEG","yes"
"ONUKA","MOZAЇKA","sing8","electronic","electronic","мікс","Київ","мікс","київ","ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg","https://www.facebook.com/onuka.official/","https://soundcloud.com/onukaofficial/sets/onuka-mozaika","yes","short list","2018","","img/covers18/wMVHE65XiI.JPEG","yes"
"YUKO","DURA?","sing9","electronic","electronic","мікс","Київ","мікс","київ","YARYNO","YUKO_YARYNO.mp3","https://i1.sndcdn.com/artworks-000448515327-59b3vv-t500x500.jpg","https://www.facebook.com/yukoUA/","https://soundcloud.com/masterskayalab/sets/yuko-dura","yes","short list","2018","","img/covers18/XjRMQd82WW.JPEG","yes"
"Вагоновожатые","Референс","sing10","dans/electro","electronic","мікс","Київ","чоловіча","київ","Chelovecheskie slabosti","Vagonovozhatyie_Chelovecheskie_slabosti.mp3","https://www.buro247.ua/thumb/670x830_0/images/2018/11/vagonovozhatye-reference-album-3.jpg","https://www.facebook.com/vagonodrivers/","https://itunes.apple.com/ua/album/%D1%80%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%81/1441136499","yes","short list","2018","","img/covers18/NvhLstihm7.JPEG","yes"
"2sleepy","For The Next Day","sing11","electronic","electronic","немає","Київ Krakow Brooklyn","чоловіча","київ","A Driver for the Night","2sleepy_A_Driver_for_the_Night.mp3","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg","https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private","yes","long list","2018","","img/covers18/sIznQlN4sZ.JPEG","yes"
"2sleepy","For The Next Day","sing12","electronic","electronic","немає","Київ Krakow Brooklyn","чоловіча","закордон","A Driver for the Night","2sleepy_A_Driver_for_the_Night.mp3","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg","https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private","yes","long list","2018","","img/covers18/sIznQlN4sZ.JPEG","yes"
"Advokaty","23:45","sing13","alternative rock","rock","російська","Київ","мікс","київ","23:45","Advokaty_23_45.mp3","https://rock.ua/rockdb/i/cd/full/1050-2345.jpg","https://www.facebook.com/advokaty.official/","https://soundcloud.com/advokaty/sets/2345album","yes","long list","2018","","img/covers18/2QIE4P9Ttu.JPEG","yes"
"Aero Benin","Aero Benin","sing14","psychedelic pop","indie","мікс","Київ","чоловіча","київ","Sun Always Rise","Aero_Benin_Sun_Always_Rise.mp3","https://f4.bcbits.com/img/0014279796_10.jpg","https://www.facebook.com/aerobenin/","https://aerobenin.bandcamp.com/album/aero-benin","yes","long list","2018","","img/covers18/nUZobyNxvd.JPEG","yes"
"Andrey Chmut","Smoothability","sing15","jazz","jazz","немає","Київ","чоловіча","київ","Moving Forward","Andrey_Chmut_ Moving Forward.m4a","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg","https://www.facebook.com/andrey.chmut.3","https://itunes.apple.com/ru/album/smoothability/1388690133","yes","long list","2018","","img/covers18/T8v5j4c8Sk.JPEG","yes"
"Anna Mia Quintet","Miasophy","sing16","new jazz","jazz","мікс","Київ","жіноча","київ","Anna Mia Quintet - Character","Anna_Mia_Quintet_Character.mp3","https://fancymusic.ru/wp-content/uploads/2012/12/Cover50080.jpg","https://www.facebook.com/annamiamusic","https://itunes.apple.com/ru/album/miasophy/1439603670","yes","long list","2018","","img/covers18/vpJLlZBFB4.JPEG","yes"
"Anton Belov","Piano Works I","sing17","instrumental","instrumental","немає","Київ","чоловіча","київ","Woven","Anton_Belov_Woven.mp3","https://f4.bcbits.com/img/a1868104046_16.jpg","https://www.facebook.com/antonbelovmusic/","https://antonbelov.bandcamp.com/album/piano-works-i","yes","long list","2018","","img/covers18/Kh4rfTcIaG.JPEG","yes"
"Atomic Simao","Levitation Loom Four","sing18","psychedelic jazz, instrumental","jazz","англійська","Київ","чоловіча","київ","Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg","https://www.facebook.com/AtomicSimao/?eid=ARDDG--hd76BelOceMI0olGWfYMkPSOy30X5i93LC9-2dOezOU2__IvPG7FiNBGjrqNypHfQLO8EyJLS","https://atomicsimao.bandcamp.com/album/levitation-loom-four","yes","long list","2018","","img/covers18/hqYZFRXpKo.JPEG","yes"
"Balaklava Blues","FLY","sing19","EDM guerrilla-folk","ethno","мікс","Toronto","мікс","закордон","","","https://l.facebook.com/l.php?u=https%3A%2F%2Fnotatky.com.ua%2Fwp-content%2Fuploads%2Ffly-400.jpg%3Ffbclid%3DIwAR1I-q5tJSSTEvcIE5qkhiLQYxN9-Tv6fRxdtF00nHQrIZDNVPzE12wYtqU&h=AT1sUxYCFrS_DW_q0-TcigX63pxuXqI37_bjECuRu_2_8pNCSdPOr0c25tZ_W1cyXdGAvUyx-8_l-AjrwXHkFvA9uTE1FPP2oL5YGNvPpN1Po2SElZZ9yWTt0xAjmg","https://www.facebook.com/balaklavablues/?ref=br_rs","https://soundcloud.com/user-160332128/sets/fly","","long list","2018","","",""
"Banned society","Candy","sing20","hip hop","electronic","англійська","Дніпро","чоловіча","центр","No My Faces (feat. Marzena Slowik)","banned_society_No_My_Faces_(feat._Marzena_Slowik).mp3","https://images-na.ssl-images-amazon.com/images/I/51kxZ2uCB%2BL._SS500.jpg","https://www.facebook.com/bannedsociety/","https://soundcloud.com/awsm_music/sets/candy","yes","long list","2018","","img/covers18/bPwcfTpkyj.JPEG","yes"
"Blooms Corda","Fog Lavender","sing21","funk, jazz, indie","indie","українська","Київ","чоловіча","київ","Moya california","Blooms_Corda_Moya_california.mp3","https://i1.sndcdn.com/avatars-000527218128-mqm07c-t500x500.jpg","https://www.facebook.com/bloomscorda/","https://soundcloud.com/blooms-corda/sets/fog-lavender-2018","yes","long list","2018","","","no link"
"Cancel band & DJ Shon","Movement","sing22","instrumental hip-hop","hip hop & rap","англійська","Львів","чоловіча","захід","Dust","The_Cancel_&_DJ_Shon_Dust.mp3","https://f4.bcbits.com/img/a1376510507_16.jpg","https://www.facebook.com/TheCancel/","https://thecancelmusic.bandcamp.com/album/movement","yes","long list","2018","","img/covers18/WqexchCI8r.JPEG","yes"
"Cape Cod","Echoes","sing23","electronic house","electronic","англійська","Київ","чоловіча","київ","Echo 3","Cape_Cod_Echo_3.mp3","https://i1.sndcdn.com/artworks-000412022217-rrqn5f-t500x500.jpg","https://www.facebook.com/capecodband/","https://play.google.com/store/music/album/Cape_Cod_Echoes?id=Bvxmwjkwyzq6sjdmk6qw73stweq","yes","long list","2018","","img/covers18/gGxLrGJEkA.JPEG","yes"
"CEPASA","Dark Beauty","sing24","Electronic","electronic","англійська","Київ","чоловіча","київ","Dark Beauty","Cepasa_Dark_Beauty.mp3","https://toloka.to/photos/181220211919804752_f0_0.jpg","https://www.facebook.com/cepasaofficial/","https://soundcloud.com/cepasa/sets/dark-beauty-2018","yes","long list","2018","","img/covers18/dQofSGP6kX.JPEG","yes"
"DaKooka","Герой","sing25","trip hop","electronic","російська","Чернівці","жіноча","захід","Герой","daKooka_Герой.mp3","https://s.mxmcdn.net/images-storage/albums4/0/0/5/1/2/2/40221500_350_350.jpg","https://www.facebook.com/dakooka/","https://www.deezer.com/en/album/67055972","yes","long list","2018","","img/covers18/rF85aNJtQK.JPEG","yes"
"Dark Side Trio","Old Bookcase","sing26","jazz","jazz","немає","Дніпро","чоловіча","центр","City of the Large Squares","Dark_Side_Trio_City_of_the_Large_Squares.mp3","https://kyiv-online.net/wp-content/uploads/2018/05/afisha-kyiv-space-mk-dark-side-trio.jpg","https://www.facebook.com/trioDarkSide/","https://itunes.apple.com/ua/album/old-bookcase/1358849923?l=ru","yes","long list","2018","","","no link"
"Freel","Спалах","sing27","rap","hip hop & rap","українська","Київ","чоловіча","київ","Хочеш приїду","Freel_Хочеш_приїду.mp3","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg","https://www.facebook.com/me.freel/","https://soundcloud.com/me-freel/sets/freel-spalah","yes","long list","2018","","",""
"Gamardah Fungus","Crossing The Wasteland","sing28","Ambient / Drone / Noir","avant-garde","немає","Дніпро","чоловіча","центр","Smoke over Domes","Gamardah_Fungus_Smoke_over_Domes.mp3","https://f4.bcbits.com/img/a2531966832_16.jpg","https://www.facebook.com/GamardahFungus","https://gamardahfungus.bandcamp.com/?fbclid=IwAR3ctGdSIZPtH-wCj-HH1bFatczYY7ZZI9J4K_PbHINJzHhhT8lP7JZSQEI","yes","long list","2018","","img/covers18/poimXWE6Zc.JPEG","yes"
"Heinali","Iridescent","sing29","Ambient, electronic","electronic","немає","Київ","чоловіча","київ","Iridescent","Heinali_Iridescent.mp3","https://assets.boomkat.com/spree/products/533512/large/192562903995.jpg","https://www.facebook.com/heinali/","https://itunes.apple.com/us/album/iridescent/1435071964","yes","long list","2018","","img/covers18/LWErhubwq0.JPEG","yes"
"Hudaki Village Band","YO!","sing30","ethno, folk","ethno","українська","Нижнє селище","мікс","захід","From Khust to Sighet","Hudaki_village_band_From_Khust_to_Sighet.mp3","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a4/da/55/a4da55bb-08af-86ae-545c-e2d71baa64c9/193428262881.jpg/626x0w.jpg","https://www.facebook.com/hudakivillageband/","https://hudakivillageband.bandcamp.com/releases","yes","long list","2018","","img/covers18/bnmeXYCU62.JPEG","yes"
"Indytronics (INDT)","Palace","sing31","alternative","indie","англійська","Київ","чоловіча","київ","Savannah Only Temple","INDT_Savannah_Only_Temple.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/releases/42140103642_44c33eeefb_o.jpg","https://www.facebook.com/doyouknowindt","https://itunes.apple.com/ua/album/palace/1386327463?l=ru","yes","long list","2018","","img/covers18/dDp1JGJXYK.JPEG","yes"
"Jamala","Крила","sing32","pop","pop","мікс","Київ","жіноча","київ","Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no","https://www.facebook.com/jamalaofficial/","https://itunes.apple.com/ua/album/%D0%BA%D1%80%D0%B8%D0%BB%D0%B0/1437159875?l=ru","yes","long list","2018","","img/covers18/PVr5XB1e7y.JPEG","yes"
"Jinjer","Cloud Factory","sing33","Groove metal","metal","мікс","Донецьк","мікс","схід","Bad Water","Jinjer_Bad_Water.mp3","https://images.genius.com/bc6a0e3c5666c1feb8b498c5398bfe7e.700x700x1.jpg","https://www.facebook.com/JinjerOfficial/","https://itunes.apple.com/ru/album/cloud-factory/1323278426","yes","long list","2018","","","no link"
"King Imagine","Femininho","sing34","Experimental","avant-garde","мікс","Київ","чоловіча","київ","Femininho","King_Imagine_Femininho.mp3","https://3.bp.blogspot.com/-2VEu6EPLlSg/W9gunNsKBHI/AAAAAAAAFTY/V615SBUgnw0iXzE1tEdCnOlp8ZECx-X2gCLcBGAs/s400/%25D0%25BC%25D1%2583%25D0%25B7%25D1%258B%25D0%25BA%25D0%25B0.jpg","https://www.facebook.com/King-Imagine-aka-Bass-Assassin-173298599390330/","https://skprecords.bandcamp.com/album/king-imagine-femininho","yes","long list","2018","","img/covers18/OhAvuFg5Pb.JPEG","yes"
"KRUTЬ","Live Concert With Chamber Orchestra","sing35","","indie","мікс","Київ","жіноча","київ","Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg","https://www.facebook.com/bandurakrut/","https://play.google.com/store/music/album/KRUT%D0%AC_Live_Concert_With_Chamber_Orchestra?id=Bct5uphaqmky44no3ba7z2j7j74","yes","long list","2018","","img/covers18/5JvJlgdKak.JPEG","yes"
